subject,edges_T2W30,diameter_T2W30,asp_T2W30,y_true,y_pred
CDMS-10-4A-JURAN,0.06404077940535657,0.0,0.0,2,3.0
CDMS-10-5A-HEPIHO,0.005292375829366591,0.0,0.0,3,2.94125159642401
CDMS-10-5A-KSRAGU,0.06404077940535657,0.0,0.0,2,3.0
CDMS-10-5A-SROPU,0.06404077940535657,0.0,0.0,3,3.0
CDMS-10-5A-SZURO,-0.17999105083337064,0.0,0.0,2,2.755968169761273
CDMS-10-5B-SRAJA,0.06404077940535657,0.0,0.0,1,3.0
CDMS-10-5C-DAAUSA,0.06404077940535657,0.0,0.0,1,3.0
CDMS-10-5C-ICAPA,-0.26354542749119503,0.0,0.0,3,2.6724137931034484
CDMS-10-5C-JFALGI,0.06404077940535657,0.0,0.0,6,3.0
CDMS-10-5C-NBEMO,-0.22436047451313712,0.0,0.0,1,2.7115987460815063
CDMS-10-6B-ASCACO,0.019070996255694528,0.0,0.0,2,2.955030216850338
CDMS-10-6B-JJMOBE,-0.26041063125295016,0.0,0.0,4,2.6755485893416933
CDMS-11-5A-EAARCA,0.06404077940535657,0.0,0.0,3,3.0
CDMS-11-5A-MGTHAR,0.006117493857119793,0.0,0.0,3,2.942076714451763
CDMS-11-6A-DFVEBE,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-6A-NMREPR,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-6B-ARAHE,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-6B-AVROTO,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-6B-EAFESA,0.06404077940535657,0.0,0.0,6,3.0
CDMS-11-6B-EFRGR,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-6B-EROCO,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-6B-JACUPE,0.00015189051646746776,0.0,0.0,1,2.936111111111111
CDMS-11-6B-JDCHBA,-0.006946874915631174,0.0,0.0,0,2.9290123456790123
CDMS-11-6B-JFSAHE,0.06404077940535657,0.0,0.0,2,3.0
