target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T2W10,VALIDATION,R2,0.004309,0.0369,0.000682,0.007936,1.9659,399,True
MOT,T2W10,VALIDATION,RMSE,7.713964,0.344902,7.680061,7.747867,1.9659,399,True
MOT,T2W10,VALIDATION,MAE,6.569406,0.282444,6.541643,6.59717,1.9659,399,True
MOT,T2W10,VALIDATION,rho,0.089674,0.12525,0.077362,0.101985,1.9659,399,True
MOT,T2W10,TEST,R2,0.000542,0.058933,-0.005251,0.006335,1.9659,399,False
MOT,T2W10,TEST,RMSE,7.652026,0.526003,7.600322,7.70373,1.9659,399,True
MOT,T2W10,TEST,MAE,6.541362,0.441644,6.49795,6.584774,1.9659,399,True
MOT,T2W10,TEST,rho,0.072758,0.203477,0.052757,0.092759,1.9659,399,True
COG,T2W10,VALIDATION,R2,-0.022542,0.06145,-0.028582,-0.016501,1.9659,399,True
COG,T2W10,VALIDATION,RMSE,2.280595,0.188293,2.262087,2.299104,1.9659,399,True
COG,T2W10,VALIDATION,MAE,1.782841,0.128303,1.770229,1.795453,1.9659,399,True
COG,T2W10,VALIDATION,rho,0.090035,0.122013,0.078042,0.102029,1.9659,399,True
COG,T2W10,TEST,R2,-0.025555,0.101588,-0.035541,-0.015569,1.9659,399,True
COG,T2W10,TEST,RMSE,2.22928,0.313912,2.198424,2.260137,1.9659,399,True
COG,T2W10,TEST,MAE,1.7491,0.204837,1.728966,1.769235,1.9659,399,True
COG,T2W10,TEST,rho,0.095964,0.177959,0.078472,0.113457,1.9659,399,True
MOT_V4,T2W10,VALIDATION,R2,-0.004738,0.043577,-0.009022,-0.000455,1.9659,399,True
MOT_V4,T2W10,VALIDATION,RMSE,3.486521,0.169948,3.469815,3.503226,1.9659,399,True
MOT_V4,T2W10,VALIDATION,MAE,2.880298,0.127078,2.867807,2.892789,1.9659,399,True
MOT_V4,T2W10,VALIDATION,rho,0.064387,0.13081,0.051529,0.077246,1.9659,399,True
MOT_V4,T2W10,TEST,R2,-0.008489,0.07067,-0.015436,-0.001543,1.9659,399,True
MOT_V4,T2W10,TEST,RMSE,3.453473,0.259818,3.427934,3.479012,1.9659,399,True
MOT_V4,T2W10,TEST,MAE,2.853495,0.191898,2.834632,2.872358,1.9659,399,True
MOT_V4,T2W10,TEST,rho,0.062667,0.204947,0.042522,0.082813,1.9659,399,True
COG_V1,T2W10,VALIDATION,R2,0.004449,0.070855,-0.002516,0.011414,1.9659,399,False
COG_V1,T2W10,VALIDATION,RMSE,1.340827,0.083957,1.332574,1.34908,1.9659,399,True
COG_V1,T2W10,VALIDATION,MAE,1.054002,0.064555,1.047657,1.060348,1.9659,399,True
COG_V1,T2W10,VALIDATION,rho,0.150593,0.128572,0.137955,0.163231,1.9659,399,True
COG_V1,T2W10,TEST,R2,0.015405,0.09385,0.00618,0.02463,1.9659,399,True
COG_V1,T2W10,TEST,RMSE,1.341596,0.120004,1.3298,1.353392,1.9659,399,True
COG_V1,T2W10,TEST,MAE,1.065151,0.096941,1.055622,1.07468,1.9659,399,True
COG_V1,T2W10,TEST,rho,0.169063,0.203042,0.149104,0.189021,1.9659,399,True
