target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T7W30,VALIDATION,R2,-0.010937,0.034344,-0.014313,-0.007561,1.9659,399,True
MOT,T7W30,VALIDATION,RMSE,7.635473,0.330644,7.602972,7.667974,1.9659,399,True
MOT,T7W30,VALIDATION,MAE,6.495622,0.245939,6.471447,6.519797,1.9659,399,True
MOT,T7W30,VALIDATION,rho,0.071903,0.123926,0.059722,0.084085,1.9659,399,True
MOT,T7W30,TEST,R2,-0.012427,0.045656,-0.016915,-0.007939,1.9659,399,True
MOT,T7W30,TEST,RMSE,7.759624,0.503754,7.710106,7.809141,1.9659,399,True
MOT,T7W30,TEST,MAE,6.575338,0.382781,6.537712,6.612964,1.9659,399,True
MOT,T7W30,TEST,rho,0.098449,0.201948,0.078598,0.1183,1.9659,399,True
COG,T7W30,VALIDATION,R2,-0.01887,0.042375,-0.023035,-0.014705,1.9659,399,True
COG,T7W30,VALIDATION,RMSE,2.259101,0.149723,2.244384,2.273818,1.9659,399,True
COG,T7W30,VALIDATION,MAE,1.755583,0.096209,1.746126,1.76504,1.9659,399,True
COG,T7W30,VALIDATION,rho,0.050969,0.117892,0.03938,0.062557,1.9659,399,True
COG,T7W30,TEST,R2,-0.024984,0.068428,-0.03171,-0.018258,1.9659,399,True
COG,T7W30,TEST,RMSE,2.225173,0.234178,2.202154,2.248191,1.9659,399,True
COG,T7W30,TEST,MAE,1.725293,0.151208,1.71043,1.740156,1.9659,399,True
COG,T7W30,TEST,rho,0.04455,0.203907,0.024507,0.064593,1.9659,399,True
MOT_V4,T7W30,VALIDATION,R2,-0.007783,0.032503,-0.010978,-0.004588,1.9659,399,True
MOT_V4,T7W30,VALIDATION,RMSE,3.446976,0.181342,3.429151,3.464802,1.9659,399,True
MOT_V4,T7W30,VALIDATION,MAE,2.855223,0.12005,2.843422,2.867023,1.9659,399,True
MOT_V4,T7W30,VALIDATION,rho,0.094015,0.126649,0.081566,0.106464,1.9659,399,True
MOT_V4,T7W30,TEST,R2,-0.007539,0.047499,-0.012208,-0.00287,1.9659,399,True
MOT_V4,T7W30,TEST,RMSE,3.482734,0.279685,3.455242,3.510226,1.9659,399,True
MOT_V4,T7W30,TEST,MAE,2.885531,0.190453,2.86681,2.904252,1.9659,399,True
MOT_V4,T7W30,TEST,rho,0.113314,0.197066,0.093943,0.132685,1.9659,399,True
COG_V1,T7W30,VALIDATION,R2,-0.014076,0.021295,-0.01617,-0.011983,1.9659,399,True
COG_V1,T7W30,VALIDATION,RMSE,1.344953,0.076199,1.337463,1.352443,1.9659,399,True
COG_V1,T7W30,VALIDATION,MAE,1.033703,0.053105,1.028483,1.038923,1.9659,399,True
COG_V1,T7W30,VALIDATION,rho,-0.117045,0.117607,-0.128606,-0.105485,1.9659,399,True
COG_V1,T7W30,TEST,R2,-0.016252,0.023984,-0.01861,-0.013895,1.9659,399,True
COG_V1,T7W30,TEST,RMSE,1.353734,0.110341,1.342887,1.36458,1.9659,399,True
COG_V1,T7W30,TEST,MAE,1.03788,0.0783,1.030183,1.045576,1.9659,399,True
COG_V1,T7W30,TEST,rho,-0.110249,0.188384,-0.128766,-0.091731,1.9659,399,True
