feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1
edges,raw,2,T2W40,222,-0.018094730112616673,0.7886182170854219,-0.023931052301875453,0.7234933681426196,0.19992561483784319,0.002769053514441558,0.1775874898644941,0.0081420288490326,0.008804206230817763,0.8962169761243063,0.0038792667908917815,0.9542722661068478,0.2718559788919854,4.0382618704491144e-05,0.2601859717425128,9.092044978087402e-05
lsc,raw,2,T2W40,222,-0.1072947351350123,0.11088313907806932,-0.12397713351197345,0.06581160128052008,0.11993092744130233,0.0745399486200578,0.06253834864384873,0.3547925630591537,-0.08788631939413741,0.19202562628580694,-0.10230178590226335,0.12947344041732542,0.1953041087069726,0.0034809694965814075,0.1687174832365957,0.012005726273055394
l3,raw,2,T2W40,222,-0.039848684609922594,0.5547784770561219,-0.04155233010243563,0.5388967001595867,-0.0266735608990498,0.6926555449992945,-0.03592656911355603,0.5952596533784925,0.0023417389724552542,0.9723235841342736,0.0009042657600548093,0.9893352766534832,-0.06663367768544562,0.3229991009119917,-0.07185024984452794,0.287578564619606
diameter,raw,2,T2W40,222,-0.05715789790737427,0.39670594223726213,-0.06259079249086875,0.3543884040975787,-0.008019010783038268,0.9054274872605461,-0.03439150764618044,0.6110903617940409,-0.05817981818338054,0.38830400950703875,-0.06300520008971487,0.35120493271472536,0.05854255420619103,0.38534777871889525,0.04518755066249353,0.5039464332943016
pe,raw,2,T2W40,222,0.12129987513085844,0.07126409597824865,0.12720361067229455,0.059029932054372306,0.007056911301742997,0.9167302443210059,0.03346526907163135,0.6207311564275291,0.13065692454093816,0.05188383989988431,0.13599371535640706,0.04342287797930859,-0.042389935715971376,0.5297990543807619,-0.028766850094330297,0.6706086212626953
asp,raw,2,T2W40,222,-0.0657325413442966,0.3296005952392418,-0.07194781363583601,0.28692282284968906,-0.0036381653452331212,0.9570135580289534,-0.03307830624578014,0.6247782458683604,-0.06199530502433384,0.35789718187501585,-0.06748867072602437,0.3179202435568905,0.07669057238556523,0.25516651889590625,0.06197128430340541,0.35918109010738664
atd,raw,2,T2W40,222,0.08660100805294593,0.19863226255101302,0.09729342182881309,0.1494178503389071,-0.013188765198476912,0.8450740767008582,0.03267263059869017,0.6290331432937581,0.08537047563787908,0.20511051465237712,0.09494737704015145,0.15952536281364924,-0.04067906261170008,0.5465536623430624,-0.01651037663125453,0.8071772683683591
l2,raw,2,T2W40,222,0.12191135565211889,0.06983919733238753,0.13018375002813956,0.05328822902131879,-0.010195039565904373,0.8799370144373598,0.02471576053687279,0.7148140397519092,0.12977070880998692,0.0535081750976005,0.13729396524059972,0.04143872159172934,-0.05247849244819637,0.43654889725606827,-0.03429003929240214,0.6121432807309611
re,raw,2,T2W40,222,0.04748444053926925,0.4814917020866842,0.05727617649549602,0.3968062834000815,-0.059213786806654886,0.37991350781992284,-0.016009154024990056,0.812921561418752,0.03744042018556077,0.5789664192487722,0.04596708061328274,0.4966095422952363,-0.06217283740963649,0.35651958728366395,-0.03884274747913366,0.565709880034632
l1,raw,2,T2W40,222,-0.005339212233841006,0.9369499509606612,0.0059829966049131855,0.9295269381015431,-0.04606269450402012,0.49472894508229537,0.010843660355472923,0.8726501534647052,-0.03292639289102688,0.6255817022220354,-0.023857214590462583,0.7243118972542079,0.03065591872698728,0.6496192851198692,0.06432200829399055,0.34120916505164167
density,raw,2,T2W40,222,0.04755483227165649,0.4808413272229998,0.05499336288738793,0.41592295931955336,-0.02598610328117592,0.7001903711461633,0.008583647482210691,0.8990323713033047,0.056670801522110674,0.4007487585579817,0.06338782472168245,0.3482816502868939,-0.06436033612755049,0.3398185052775223,-0.046260759011796514,0.49386019832708017
lcc,raw,2,T2W40,222,-0.08575255753060824,0.20308288576095507,-0.09958877392054538,0.14000591021576592,0.0593725661716402,0.3786349126960948,0.004655627692335973,0.945133879731558,-0.07186193682954042,0.2863996175913589,-0.08391546224336974,0.21401101799212083,0.11386171519204562,0.090563544746297,0.0865607141048721,0.19986804472890593
nodes,raw,2,T2W40,222,-0.08214348878277422,0.2228205235327144,-0.09517819122284571,0.15850872934321106,0.05373485531594758,0.4256326491723888,0.0010799424052330823,0.9872635431993851,-0.06706967259876506,0.31983606422430144,-0.07838223984164563,0.24588026758011483,0.10235782509014929,0.12838938457476118,0.07573678384126817,0.26223067279982215
