target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
COG_V1,T7W30,VALIDATION,R2,-8.544774704651055e+17,1.2648600209089694e+19,-2.097788890777106e+18,3.888339498468947e+17,1.9659,399,False
COG_V1,T7W30,VALIDATION,RMSE,225917158.71562,1182270417.416268,109704274.477699,342130042.953541,1.9659,399,True
COG_V1,T7W30,VALIDATION,MAE,31634730.688175,165550971.980822,15361671.954008,47907789.422341,1.9659,399,True
COG_V1,T7W30,VALIDATION,rho,-0.010231,0.1266,-0.022675,0.002213,1.9659,399,False
COG_V1,T7W30,TEST,R2,-1.1982419604215488e+17,1.5161937781394294e+18,-2.6886053275964058e+17,2.9212140675330816e+16,1.9659,399,False
COG_V1,T7W30,TEST,RMSE,76637165.953147,440621118.114757,33325711.790098,119948620.116196,1.9659,399,True
COG_V1,T7W30,TEST,MAE,15327433.985571,88124223.666376,6665143.148693,23989724.82245,1.9659,399,True
COG_V1,T7W30,TEST,rho,-0.04263,0.184532,-0.060769,-0.024491,1.9659,399,True
