target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T6W150,VALIDATION,R2,-0.012532,0.008546,-0.013373,-0.011692,1.9659,399,True
MOT,T6W150,VALIDATION,RMSE,7.645372,0.30719,7.615176,7.675568,1.9659,399,True
MOT,T6W150,VALIDATION,MAE,6.518068,0.232476,6.495216,6.540919,1.9659,399,True
MOT,T6W150,VALIDATION,rho,-0.181894,0.112737,-0.192975,-0.170812,1.9659,399,True
MOT,T6W150,TEST,R2,-0.011521,0.011329,-0.012635,-0.010407,1.9659,399,True
MOT,T6W150,TEST,RMSE,7.825665,0.481844,7.778301,7.873028,1.9659,399,True
MOT,T6W150,TEST,MAE,6.708517,0.365406,6.672599,6.744435,1.9659,399,True
MOT,T6W150,TEST,rho,-0.152173,0.175352,-0.169409,-0.134936,1.9659,399,True
COG,T6W150,VALIDATION,R2,-0.013221,0.038547,-0.01701,-0.009432,1.9659,399,True
COG,T6W150,VALIDATION,RMSE,2.256278,0.188152,2.237783,2.274772,1.9659,399,True
COG,T6W150,VALIDATION,MAE,1.761448,0.125649,1.749097,1.773798,1.9659,399,True
COG,T6W150,VALIDATION,rho,0.046991,0.12524,0.03468,0.059302,1.9659,399,True
COG,T6W150,TEST,R2,-0.020335,0.061028,-0.026334,-0.014336,1.9659,399,True
COG,T6W150,TEST,RMSE,2.185258,0.271468,2.158574,2.211942,1.9659,399,True
COG,T6W150,TEST,MAE,1.697492,0.188742,1.678939,1.716044,1.9659,399,True
COG,T6W150,TEST,rho,0.032088,0.189216,0.013489,0.050688,1.9659,399,True
MOT_V4,T6W150,VALIDATION,R2,-0.011103,0.026157,-0.013675,-0.008532,1.9659,399,True
MOT_V4,T6W150,VALIDATION,RMSE,3.467579,0.173006,3.450573,3.484584,1.9659,399,True
MOT_V4,T6W150,VALIDATION,MAE,2.884337,0.116337,2.872902,2.895773,1.9659,399,True
MOT_V4,T6W150,VALIDATION,rho,-0.063049,0.120542,-0.074898,-0.0512,1.9659,399,True
MOT_V4,T6W150,TEST,R2,-0.014743,0.02824,-0.017519,-0.011967,1.9659,399,True
MOT_V4,T6W150,TEST,RMSE,3.483499,0.261717,3.457773,3.509225,1.9659,399,True
MOT_V4,T6W150,TEST,MAE,2.913732,0.170928,2.89693,2.930534,1.9659,399,True
MOT_V4,T6W150,TEST,rho,-0.058758,0.190736,-0.077506,-0.040009,1.9659,399,True
COG_V1,T6W150,VALIDATION,R2,-0.007825,0.019092,-0.009701,-0.005948,1.9659,399,True
COG_V1,T6W150,VALIDATION,RMSE,1.386667,0.075935,1.379202,1.394131,1.9659,399,True
COG_V1,T6W150,VALIDATION,MAE,1.080539,0.054845,1.075148,1.08593,1.9659,399,True
COG_V1,T6W150,VALIDATION,rho,0.025219,0.135293,0.01192,0.038517,1.9659,399,True
COG_V1,T6W150,TEST,R2,-0.008489,0.022936,-0.010744,-0.006235,1.9659,399,True
COG_V1,T6W150,TEST,RMSE,1.340454,0.107385,1.329898,1.351009,1.9659,399,True
COG_V1,T6W150,TEST,MAE,1.037361,0.074561,1.030032,1.04469,1.9659,399,True
COG_V1,T6W150,TEST,rho,0.031102,0.183564,0.013059,0.049146,1.9659,399,True
